LLM,Alignment,Precision,Recall,F1
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-ar-es/component/source_no_validation,73.17,34.48,46.88
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-ar-es/component/source,86.67,29.89,44.44
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-ar-es/component/target_no_validation,56.25,31.03,40.00
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-ar-es/component/target,81.48,25.29,38.60
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-ar-es/component/no_validation,78.12,28.74,42.02
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-ar-es/component/llm_with_agent,95.00,21.84,35.51
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-ar-nl/component/source_no_validation,70.97,25.29,37.29
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-ar-nl/component/source,94.44,19.54,32.38
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-ar-nl/component/target_no_validation,55.00,25.29,34.65
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-ar-nl/component/target,81.82,20.69,33.03
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-ar-nl/component/no_validation,78.26,20.69,32.73
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-ar-nl/component/llm_with_agent,100.00,16.09,27.72
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-ar-pt/component/source_no_validation,60.47,29.89,40.00
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-ar-pt/component/source,71.43,22.99,34.78
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-ar-pt/component/target_no_validation,62.50,34.48,44.44
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-ar-pt/component/target,72.73,27.59,40.00
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-ar-pt/component/no_validation,75.00,27.59,40.34
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-ar-pt/component/llm_with_agent,80.95,19.54,31.48
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-ar-ru/component/source_no_validation,58.70,31.03,40.60
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-ar-ru/component/source,79.41,31.03,44.63
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-ar-ru/component/target_no_validation,55.10,31.03,39.71
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-ar-ru/component/target,84.62,25.29,38.94
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-ar-ru/component/no_validation,67.65,26.44,38.02
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-ar-ru/component/llm_with_agent,86.96,22.99,36.36
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-ar/component/source_no_validation,60.00,37.93,46.48
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-ar/component/source,80.00,32.18,45.90
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-ar/component/target_no_validation,68.89,35.63,46.97
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-ar/component/target,76.47,29.89,42.98
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-ar/component/no_validation,80.00,32.18,45.90
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-ar/component/llm_with_agent,95.83,26.44,41.44
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-cz/component/source_no_validation,75.00,57.95,65.38
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-cz/component/source,86.21,28.41,42.74
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-cz/component/target_no_validation,61.64,51.14,55.90
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-cz/component/target,51.52,19.32,28.10
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-cz/component/no_validation,89.80,50.00,64.23
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-cz/component/llm_with_agent,87.50,15.91,26.92
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-de/component/source_no_validation,58.62,38.64,46.58
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-de/component/source,73.17,34.09,46.51
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-de/component/target_no_validation,62.07,40.91,49.32
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-de/component/target,75.00,37.50,50.00
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-de/component/no_validation,86.11,35.23,50.00
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-de/component/llm_with_agent,90.62,32.95,48.33
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-en/component/source_no_validation,69.88,65.91,67.84
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-en/component/source,82.54,59.09,68.87
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-en/component/target_no_validation,68.29,63.64,65.88
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-en/component/target,70.83,57.95,63.75
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-en/component/no_validation,91.38,60.23,72.60
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-en/component/llm_with_agent,89.58,48.86,63.24
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-es/component/source_no_validation,70.00,63.64,66.67
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-es/component/source,87.04,53.41,66.20
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-es/component/target_no_validation,74.32,62.50,67.90
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-es/component/target,79.31,52.27,63.01
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-es/component/no_validation,88.89,54.55,67.61
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-es/component/llm_with_agent,92.50,42.05,57.81
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-fr/component/source_no_validation,61.90,44.32,51.66
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-fr/component/source,85.71,34.09,48.78
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-fr/component/target_no_validation,64.91,42.05,51.03
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-fr/component/target,68.09,36.36,47.41
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-fr/component/no_validation,87.18,38.64,53.54
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-fr/component/llm_with_agent,93.33,31.82,47.46
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-nl/component/source_no_validation,70.18,45.45,55.17
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-nl/component/source,77.50,35.23,48.44
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-nl/component/target_no_validation,61.02,40.91,48.98
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-nl/component/target,77.50,35.23,48.44
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-nl/component/no_validation,78.95,34.09,47.62
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-nl/component/llm_with_agent,86.21,28.41,42.74
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-pt/component/source_no_validation,55.71,44.32,49.37
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-pt/component/source,84.62,37.50,51.97
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-pt/component/target_no_validation,65.52,43.18,52.05
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-pt/component/target,73.91,38.64,50.75
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-pt/component/no_validation,84.62,37.50,51.97
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-pt/component/llm_with_agent,96.43,30.68,46.55
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-ru/component/source_no_validation,66.22,55.68,60.49
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-ru/component/source,80.36,51.14,62.50
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-ru/component/target_no_validation,66.67,54.55,60.00
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-ru/component/target,71.43,45.45,55.56
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-ru/component/no_validation,81.13,48.86,60.99
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cn-ru/component/llm_with_agent,87.80,40.91,55.81
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-ar/component/source_no_validation,54.17,29.89,38.52
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-ar/component/source,71.43,11.49,19.80
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-ar/component/target_no_validation,68.57,27.59,39.34
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-ar/component/target,82.35,16.09,26.92
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-ar/component/no_validation,87.50,24.14,37.84
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-ar/component/llm_with_agent,100.00,9.20,16.84
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-de/component/source_no_validation,55.41,46.59,50.62
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-de/component/source,55.56,11.36,18.87
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-de/component/target_no_validation,69.44,56.82,62.50
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-de/component/target,74.19,26.14,38.66
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-de/component/no_validation,78.72,42.05,54.81
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-de/component/llm_with_agent,80.00,9.09,16.33
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-en/component/source_no_validation,67.90,62.50,65.09
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-en/component/source,70.00,23.86,35.59
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-en/component/target_no_validation,69.23,61.36,65.06
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-en/component/target,68.57,27.27,39.02
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-en/component/no_validation,89.09,55.68,68.53
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-en/component/llm_with_agent,93.33,15.91,27.18
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-es/component/source_no_validation,71.60,65.91,68.64
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-es/component/source,76.00,21.59,33.63
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-es/component/target_no_validation,71.60,65.91,68.64
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-es/component/target,72.41,23.86,35.90
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-es/component/no_validation,91.07,57.95,70.83
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-es/component/llm_with_agent,92.86,14.77,25.49
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-fr/component/source_no_validation,62.20,57.95,60.00
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-fr/component/source,77.78,15.91,26.42
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-fr/component/target_no_validation,64.94,56.82,60.61
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-fr/component/target,80.00,31.82,45.53
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-fr/component/no_validation,80.77,47.73,60.00
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-fr/component/llm_with_agent,83.33,11.36,20.00
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-nl/component/source_no_validation,62.20,57.95,60.00
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-nl/component/source,92.31,13.64,23.76
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-nl/component/target_no_validation,71.23,59.09,64.60
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-nl/component/target,79.17,21.59,33.93
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-nl/component/no_validation,79.63,48.86,60.56
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-nl/component/llm_with_agent,90.91,11.36,20.20
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-pt/component/source_no_validation,63.64,55.68,59.39
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-pt/component/source,63.16,13.64,22.43
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-pt/component/target_no_validation,70.13,61.36,65.45
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-pt/component/target,68.97,22.73,34.19
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-pt/component/no_validation,84.91,51.14,63.83
