LLM,Alignment,Precision,Recall,F1
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/text-embedding-ada-002/source_no_validation,48.83,93.93,64.26
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/text-embedding-ada-002/source,84.29,91.69,87.84
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/text-embedding-ada-002/target_no_validation,46.61,94.72,62.48
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/text-embedding-ada-002/target,85.62,91.89,88.64
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/text-embedding-ada-002/no_validation,89.15,91.03,90.08
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/text-embedding-ada-002/llm_with_agent,96.13,88.59,92.21
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/text-embedding-ada-002/llm_with_agent_filter,88.74,70.16,78.36
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/text-embedding-3-small/source_no_validation,93.50,82.59,87.71
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/text-embedding-3-small/source,97.08,81.00,88.31
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/text-embedding-3-small/target_no_validation,95.16,83.05,88.69
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/text-embedding-3-small/target,97.64,81.79,89.02
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/text-embedding-3-small/no_validation,98.11,82.39,89.57
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/text-embedding-3-small/llm_with_agent,98.86,80.21,88.57
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/text-embedding-3-small/llm_with_agent_filter/,96.15,47.99,64.03
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/text-embedding-3-large/source_no_validation,94.72,82.92,88.43
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/text-embedding-3-large/source,97.01,81.27,88.44
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/text-embedding-3-large/target_no_validation,95.98,83.38,89.23
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/text-embedding-3-large/target,97.88,82.06,89.27
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/text-embedding-3-large/no_validation,98.12,82.65,89.72
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/text-embedding-3-large/llm_with_agent,98.70,80.21,88.50
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/text-embedding-3-large/llm_with_agent_filter,95.53,48.52,64.35
